year,month,age,usertype,Trips,Avgtripdur
2018,Mar,37,Subscriber,26374,14.17095498
2018,Mar,38,Customer,345,21.21410628
2018,Mar,38,Subscriber,23145,11.17733348
2018,Mar,39,Customer,274,25.11508516
2018,Mar,39,Subscriber,22908,11.67035024
2018,Mar,40,Customer,250,27.61086667
2018,Mar,40,Subscriber,21363,11.31627736
2018,Mar,41,Customer,267,67.13782772
2018,Mar,41,Subscriber,19651,11.47475955
2018,Mar,42,Customer,184,20.22735507
2018,Mar,42,Subscriber,19575,12.44726011
2018,Mar,43,Customer,175,49.81304762
2018,Mar,43,Subscriber,18287,11.61064873
2018,Mar,44,Customer,182,21.71172161
2018,Mar,44,Subscriber,17879,11.77343065
2018,Mar,45,Customer,227,19.91490455
2018,Mar,45,Subscriber,18542,11.99738432
2018,Mar,46,Customer,210,1010.876032
2018,Mar,46,Subscriber,17041,11.47389727
2018,Mar,47,Customer,155,30.59688172
2018,Mar,47,Subscriber,17461,11.97579081
2018,Mar,48,Customer,188,28.2983156
2018,Mar,48,Subscriber,20319,12.18540036
2018,Mar,49,Customer,44481,48.42553375
2018,Mar,49,Subscriber,29437,11.78807057
2018,Mar,50,Customer,132,27.50744949
2018,Mar,50,Subscriber,17048,11.917876
2018,Mar,51,Customer,121,30.98415978
2018,Mar,51,Subscriber,15499,11.40466589
2018,Mar,52,Customer,174,29.05047893
2018,Mar,52,Subscriber,14860,12.72062023
2018,Mar,53,Customer,178,17.94578652
2018,Mar,53,Subscriber,14513,11.43170146
2018,Mar,54,Customer,111,24.84264264
2018,Mar,54,Subscriber,14889,17.78906128
2018,Mar,55,Customer,95,24.68754386
2018,Mar,55,Subscriber,14478,11.49203734
2018,Mar,56,Customer,82,25.89207317
2018,Mar,56,Subscriber,13461,11.79612213
2018,Mar,57,Customer,61,28.40027322
2018,Mar,57,Subscriber,11639,11.65283673
2018,Mar,58,Customer,48,35.41284722
2018,Mar,58,Subscriber,12264,11.76560258
2018,Mar,59,Customer,56,37.93244048
2018,Mar,59,Subscriber,10892,12.89060779
2018,Mar,60,Customer,42,31.72619048
2018,Mar,60,Subscriber,9782,11.93151878
2018,Mar,61,Customer,40,31.36208333
2018,Mar,61,Subscriber,8902,13.19938591
2018,Mar,62,Customer,21,17.93650794
2018,Mar,62,Subscriber,7647,12.99865089
2018,Mar,63,Customer,26,35.16794872
2018,Mar,63,Subscriber,6097,12.70669182
2018,Mar,64,Customer,16,45.69270833
2018,Mar,64,Subscriber,6069,13.71723513
2018,Mar,65,Customer,50,23.97733333
2018,Mar,65,Subscriber,4831,11.88972262
2018,Mar,66,Customer,13,36.79102564
2018,Mar,66,Subscriber,3327,12.75330628
2018,Mar,67,Customer,15,22.01333333
2018,Mar,67,Subscriber,3176,13.10496956
2018,Mar,68,Customer,2,29.325
2018,Mar,68,Subscriber,2405,12.46972973
2018,Mar,69,Customer,14,28.64285714
2018,Mar,69,Subscriber,1717,12.66697729
2018,Mar,70,Subscriber,1703,17.44263065
2018,Mar,71,Customer,7,33.82380952
2018,Mar,71,Subscriber,1492,18.48519884
2018,Mar,72,Customer,1,52.2
2018,Mar,72,Subscriber,1389,12.60107991
2018,Mar,73,Subscriber,638,10.1484326
2018,Mar,74,Customer,11,27.10757576
2018,Mar,74,Subscriber,616,10.6545184
2018,Mar,75,Subscriber,517,13.73349452
2018,Mar,76,Subscriber,756,11.85892857
2018,Mar,77,Subscriber,514,11.20830091
2018,Mar,78,Subscriber,272,10.8939951
2018,Mar,79,Subscriber,109,13.86819572
2018,Mar,80,Subscriber,115,9.200434783
2018,Mar,81,Subscriber,189,10.92936508
2018,Mar,82,Subscriber,52,10.44551282
2018,Mar,83,Subscriber,26,13.51025641
2018,Mar,84,Subscriber,55,13.25545455
2018,Mar,85,Subscriber,30,10.51277778
